step,epoch,train_loss,val_loss,val_accuracy,test_accuracy,lr,mu,a,b,c,hypgrad_lr,hypgrad_mu,hypgrad_abc,update_rms
0,1,2.3051445484161377,nan,nan,nan,0.0010000003809109204,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.0626780092716217,0.0,0.009954739982883135,0.13811454575519877
1,1,2.299976348876953,nan,nan,nan,0.001000000857748374,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.052811149507761,0.0004920427454635501,0.0033762073144316673,0.16163592352159434
2,1,2.301020860671997,nan,nan,nan,0.001000001334586055,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.05058063194155693,0.0006237968918867409,0.0058041551771263284,0.17448955417192005
3,1,2.2970900535583496,nan,nan,nan,0.0010000018114239633,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.04631311073899269,0.0006845631869509816,0.005245615805809696,0.1745805688859563
4,1,2.277348041534424,nan,nan,nan,0.001000002288262099,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.041812896728515625,0.0007490762509405613,0.011231652150551477,0.17425194874446398
5,1,2.2531423568725586,nan,nan,nan,0.001000002765100462,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.04551997035741806,0.0008057223167270422,0.022097866361339886,0.17792338148290948
6,1,2.24106502532959,nan,nan,nan,0.0010000032419390523,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03936973214149475,0.0008115562377497554,0.02836267463862896,0.18146985240179037
7,1,2.261232852935791,nan,nan,nan,0.00100000371877787,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03966681286692619,0.0007703836890868843,0.01099981771161159,0.17857728278691093
8,1,2.2221503257751465,nan,nan,nan,0.0010000041956169151,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03909875079989433,0.0007353278924711049,0.027945570026834805,0.1801924159392392
9,1,2.246758222579956,nan,nan,nan,0.0010000046724561876,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03651149198412895,0.0008422388345934451,0.006311100092716515,0.18083570248524866
10,1,2.222346782684326,nan,nan,nan,0.0010000051492956876,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.036835670471191406,0.0008185338811017573,0.025664217149217922,0.1815386489318645
11,1,2.1972527503967285,nan,nan,nan,0.0010000056261354148,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.036139920353889465,0.0007988488068804145,0.022773677483201027,0.182490301334455
12,1,2.196897506713867,nan,nan,nan,0.0010000061029753694,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.034944456070661545,0.0007574954070150852,0.021964607139428455,0.1837487766788486
13,1,2.1720261573791504,nan,nan,nan,0.0010000065798155516,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03617897629737854,0.0008317252504639328,0.021044510727127392,0.18277273846089243
14,1,2.170278549194336,nan,nan,nan,0.001000007056655961,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03660424426198006,0.0007936035399325192,0.017666924744844437,0.1834517244107315
15,1,2.164867877960205,nan,nan,nan,0.0010000075334965976,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03274056687951088,0.0008145615574903786,0.009762578488638004,0.18452883057457709
16,1,2.1365461349487305,nan,nan,nan,0.0010000080103374617,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03888455778360367,0.0008073981734924018,0.014643465479214987,0.18464741450408956
17,1,2.1359658241271973,nan,nan,nan,0.0010000084871785533,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03610548749566078,0.0007820609607733786,0.0207807794213295,0.18381093077869087
18,1,2.1295971870422363,nan,nan,nan,0.0010000089640198723,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03435956686735153,0.0007866435335017741,0.02444267024596532,0.18297038202727944
19,1,2.11380934715271,nan,nan,nan,0.0010000094408614186,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.038103699684143066,0.0008810485596768558,0.014356095964709917,0.184365931384886
20,1,2.112057685852051,nan,nan,nan,0.0010000099177031921,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03485419228672981,0.0008324658265337348,0.020881347979108494,0.18434292041399838
21,1,2.087432861328125,nan,nan,nan,0.0010000103945451931,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03482344374060631,0.0007856039446778595,0.024139687418937683,0.18458254166444799
22,1,2.034863233566284,nan,nan,nan,0.0010000108713874216,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.0342450775206089,0.0008125207386910915,0.020071661720673244,0.18440647355000217
23,1,2.1256942749023438,nan,nan,nan,0.0010000113482298773,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03254738450050354,0.0008749305852688849,0.027106960614522297,0.18218328569226241
24,1,2.0641605854034424,nan,nan,nan,0.0010000118250725605,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03313623368740082,0.0007757985149510205,0.018994941065708797,0.1797279626788594
25,1,2.022223472595215,nan,nan,nan,0.001000012301915471,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03646578639745712,0.00084060023073107,0.02685936416188876,0.18307425169279376
26,1,1.9656485319137573,nan,nan,nan,0.0010000127787586088,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03470197319984436,0.0007592980982735753,0.01565573240319888,0.18153771353002074
27,1,2.002246856689453,nan,nan,nan,0.0010000132556019742,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03363071382045746,0.0007905152160674334,0.020115258793036144,0.18113750078206428
28,1,1.9915586709976196,nan,nan,nan,0.0010000137324455668,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.03404718637466431,0.0008527048048563302,0.013126213724414507,0.18124202177696053
29,1,1.9887372255325317,nan,nan,nan,0.0010000142092893868,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.032447271049022675,0.000797086744569242,0.007327966236819823,0.17894414371324455
30,1,1.966308832168579,nan,nan,nan,0.0010000146861334344,0.949999988079071,3.444499969482422,-4.775000095367432,2.0315001010894775,0.032564420253038406,0.0008316606981679797,0.003098130264940361,0.17731900112479917
